Material,Número de serie,FOLIO,Recibo
69746,M372120A6596D4C7A2,S25-096,26-may-25
69746,M372120A6596D4ED72,S25-096,26-may-25
69746,M372120A6596D55FD2,S25-096,26-may-25
69746,M372120A6596D58552,S25-096,26-may-25
69746,M372120A6596D5EAE2,S25-096,26-may-25
69746,M372125A6597D7A252,S25-096,26-may-25
69746,M372125A6597D85792,S25-096,26-may-25
69746,M372125A6597D88502,S25-096,26-may-25
69746,M372125A6597D9A9E2,S25-096,26-may-25
69746,M372125A6597DA5CE2,S25-096,26-may-25
69746,M372125A6597DB5E62,S25-096,26-may-25
69746,M372125A6597DB7EB2,S25-096,26-may-25
69746,M372125A6597DFB902,S25-096,26-may-25
69746,M372125A6597DFBCF2,S25-096,26-may-25
69746,M372125A6597DFC142,S25-096,26-may-25
69746,M372125A6597E1C152,S25-096,26-may-25
69746,M372125A6597E1E222,S25-096,26-may-25
69746,M372125A6597E5EB72,S25-096,26-may-25
69746,M372125A6597E85712,S25-096,26-may-25
69746,M372125A6597E96462,S25-096,26-may-25
69746,M372125A6597E9E0A2,S25-096,26-may-25
69746,M372125A6597E9E9F2,S25-096,26-may-25
69746,M372125A6597EC9E52,S25-096,26-may-25
